icao,name,country,type,lat,lon,elev_m,runway,heading_deg,length_m,width_m,surface
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,26R,267,700,100,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,08R,87,900,23,asphalt
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,26L,267,900,23,asphalt
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,10,103,680,100,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,28,283,680,100,grass
EPGD,GDAŃSK IM. LECHA WAŁESY,PL,international,54.37667000,18.46972000,135,11,113,2800,45,concrete
EPGD,GDAŃSK IM. LECHA WAŁESY,PL,international,54.37667000,18.46972000,135,29,293,2800,45,concrete
EPGE,GIŻE,PL,airfield_civil,53.98333000,22.40222000,152,13,136,780,50,grass
EPGE,GIŻE,PL,airfield_civil,53.98333000,22.40222000,152,31,316,780,50,grass
,GNIEWSKIE POLE,PL,airfield_civil,53.79056000,18.86222000,11,03,34,250,20,grass
,GNIEWSKIE POLE,PL,airfield_civil,53.79056000,18.86222000,11,21,214,250,20,grass
,GOCZAŁKOWICE,PL,airfield_civil,49.95222000,18.94194000,265,08,76,545,15,grass
,GOCZAŁKOWICE,PL,airfield_civil,49.95222000,18.94194000,265,26,256,545,15,grass
,GOLĘDZINÓW,PL,airfield_civil,51.26278000,16.92139000,139,10,100,500,20,grass
,GOLĘDZINÓW,PL,airfield_civil,51.26278000,16.92139000,139,28,280,500,20,grass
,GOLĘDZINÓW,PL,airfield_civil,51.26278000,16.92139000,139,08,80,500,30,grass
,GOLĘDZINÓW,PL,airfield_civil,51.26278000,16.92139000,139,26,260,500,30,grass
,GÓRKI,PL,airfield_civil,50.37250000,21.28972000,157,16,155,690,34,grass
,GÓRKI,PL,airfield_civil,50.37250000,21.28972000,157,34,335,690,34,grass
,GÓROWO IŁAWIECKIE,PL,airfield_civil,54.27500000,20.49444000,110,04,40,350,10,grass
,GÓROWO IŁAWIECKIE,PL,airfield_civil,54.27500000,20.49444000,110,22,220,350,10,grass
EPRG,GOTARTOWICE K/RYBNIKA,PL,airfield_civil,50.07056000,18.62889000,255,12,116,590,100,grass
EPRG,GOTARTOWICE K/RYBNIKA,PL,airfield_civil,50.07056000,18.62889000,255,30,296,590,100,grass
EPRG,GOTARTOWICE K/RYBNIKA,PL,airfield_civil,50.07056000,18.62889000,255,09,86,600,100,grass
EPRG,GOTARTOWICE K/RYBNIKA,PL,airfield_civil,50.07056000,18.62889000,255,27,266,600,100,grass
,GRABOWIEC,PL,ultralight,51.90139000,15.27028000,101,12,118,700,25,grass
,GRABOWIEC,PL,ultralight,51.90139000,15.27028000,101,30,298,700,25,grass
,GOZDNICA,PL,ultralight,51.46056000,15.10583000,137,12,122,800,25,grass
,GOZDNICA,PL,ultralight,51.46056000,15.10583000,137,30,302,800,25,grass
,GOZDNICA,PL,ultralight,51.46056000,15.10583000,137,04,39,1000,25,grass
,GOZDNICA,PL,ultralight,51.46056000,15.10583000,137,22,219,1000,25,grass
,GRĘBISZEW,PL,ultralight,52.11778000,21.51111000,134,02,19,427,45,grass
,GRĘBISZEW,PL,ultralight,52.11778000,21.51111000,134,20,199,427,45,grass
EPGY,GRĄDY,PL,airfield_civil,52.83698000,21.77764000,124,09,90,804,24,asphalt
EPGY,GRĄDY,PL,airfield_civil,52.83698000,21.77764000,124,27,270,804,24,asphalt
,GRÓJEC-SŁOMCZYN,PL,airfield_civil,51.85056000,20.93639000,141,12,123,800,50,grass
,GRÓJEC-SŁOMCZYN,PL,airfield_civil,51.85056000,20.93639000,141,30,303,800,50,grass
EPGR,GRYŹLINY,PL,airfield_civil,53.60821000,20.34920000,156,12,119,800,60,grass
EPGR,GRYŹLINY,PL,airfield_civil,53.60821000,20.34920000,156,30,299,800,60,grass
EPCH,HAJNÓWKA-CZYŻE,PL,airfield_civil,52.78444000,23.43083000,155,09,90,650,30,grass
EPCH,HAJNÓWKA-CZYŻE,PL,airfield_civil,52.78444000,23.43083000,155,27,270,650,30,grass
,HERBURTOWO,PL,airfield_civil,52.90222000,16.12944000,40,09,87,1100,90,grass
,HERBURTOWO,PL,airfield_civil,52.90222000,16.12944000,40,27,267,1100,90,grass
EPIR,INOWROCŁAW,PL,military,52.82833000,18.33028000,85,05,52,2000,60,grass
EPIR,INOWROCŁAW,PL,military,52.82833000,18.33028000,85,23,232,2000,60,grass
EPIW,IWONICZ,PL,closed,49.65791000,21.81741000,297,11,117,949,30,asphalt
EPIW,IWONICZ,PL,closed,49.65791000,21.81741000,297,29,297,949,30,asphalt
,JARYSZEWO,PL,airfield_civil,52.69278000,16.60667000,61,11,107,1040,62,grass
,JARYSZEWO,PL,airfield_civil,52.69278000,16.60667000,61,29,287,1040,62,grass
,JASTARNIA,PL,airfield_civil,54.71083000,18.64389000,3,12,121,660,34,grass
,JASTARNIA,PL,airfield_civil,54.71083000,18.64389000,3,30,301,660,34,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,13,134,690,100,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,31,314,690,100,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,18,4,390,100,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,36,184,390,100,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,08,78,760,100,grass
EPIN,INOWROCŁAW,PL,airfield_civil,52.80634000,18.28579000,85,26,258,760,100,grass
,JASŁO,PL,airfield_civil,49.75278000,21.51167000,226,08,83,400,25,grass
,JASŁO,PL,airfield_civil,49.75278000,21.51167000,226,26,263,400,25,grass
,KADŁUBIA,PL,ultralight,51.65778000,15.16639000,155,11,110,242,20,grass
,KADŁUBIA,PL,ultralight,51.65778000,15.16639000,155,29,290,242,20,grass
EPJG,JELENIA GÓRA,PL,airfield_civil,50.89883000,15.78551000,342,11L,109,850,50,grass
EPJG,JELENIA GÓRA,PL,airfield_civil,50.89883000,15.78551000,342,29R,289,850,50,grass
EPJG,JELENIA GÓRA,PL,airfield_civil,50.89883000,15.78551000,342,11R,109,620,70,grass
EPJG,JELENIA GÓRA,PL,airfield_civil,50.89883000,15.78551000,342,29L,289,620,70,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,14L,136,150,50,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,32R,316,150,50,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,17,167,101,4,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,18,2,280,50,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,36,182,280,50,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,09,93,330,50,grass
EPJS,JEŻÓW SUDECKI,PL,airfield_civil,50.94417000,15.76694000,537,27,273,330,50,grass
EPPG,KĄKOLEWO,PL,airfield_civil,52.23500000,16.24111000,91,10L,101,2300,30,concrete
EPPG,KĄKOLEWO,PL,airfield_civil,52.23500000,16.24111000,91,28R,281,2300,30,concrete
EPPG,KĄKOLEWO,PL,airfield_civil,52.23500000,16.24111000,91,10R,101,1190,100,grass
EPPG,KĄKOLEWO,PL,airfield_civil,52.23500000,16.24111000,91,28L,281,1190,100,grass
,KAMIONNA,PL,ultralight,52.55306000,15.94639000,71,03,32,500,30,grass
,KAMIONNA,PL,ultralight,52.55306000,15.94639000,71,21,212,500,30,grass
EPKW,KANIÓW,PL,airfield_civil,49.94167000,19.01944000,254,13,128,947,24,asphalt
EPKW,KANIÓW,PL,airfield_civil,49.94167000,19.01944000,254,31,308,947,24,asphalt
EPKT,KATOWICE/PYRZOWICE,PL,ifr,50.47603000,19.08000000,276,08,90,3200,45,concrete
EPKT,KATOWICE/PYRZOWICE,PL,ifr,50.47603000,19.08000000,276,26,270,3200,45,concrete
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,05L,46,1069,30,concrete
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,23R,226,1070,30,concrete
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,05R,46,600,60,grass
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,23L,226,600,60,grass
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,07,70,480,80,grass
EPKM,KATOWICE MUCHOWIEC,PL,airfield_civil,50.23830000,19.03398000,277,25,250,480,80,grass
